timesteps,episode_reward,episode_length,is_success
38850,-2.0,50,1.0
38900,-2.0,50,1.0
38950,-2.0,50,1.0
39000,0.0,50,1.0
39050,-1.0,50,1.0
39100,-2.0,50,1.0
39150,-2.0,50,1.0
39200,-2.0,50,1.0
39250,-2.0,50,1.0
39300,-3.0,50,1.0
39350,0.0,50,1.0
39400,-2.0,50,1.0
39450,-3.0,50,1.0
39500,-2.0,50,1.0
39550,-1.0,50,1.0
39600,-2.0,50,1.0
39650,-2.0,50,1.0
39700,-2.0,50,1.0
39750,-2.0,50,1.0
39800,-3.0,50,1.0
39850,-2.0,50,1.0
39900,-3.0,50,1.0
39950,-2.0,50,1.0
40000,-2.0,50,1.0
40050,0.0,50,1.0
40100,-3.0,50,1.0
40150,-2.0,50,1.0
40200,0.0,50,1.0
40250,-6.0,50,1.0
40300,-2.0,50,1.0
40350,-1.0,50,1.0
40400,-1.0,50,1.0
40450,-1.0,50,1.0
40500,-2.0,50,1.0
40550,-2.0,50,1.0
40600,-2.0,50,1.0
40650,-2.0,50,1.0
40700,-2.0,50,1.0
40750,-2.0,50,1.0
40800,-1.0,50,1.0
40850,-2.0,50,1.0
40900,-2.0,50,1.0
40950,-2.0,50,1.0
41000,-2.0,50,1.0
41050,-3.0,50,1.0
41100,-3.0,50,1.0
41150,-2.0,50,1.0
41200,-2.0,50,1.0
41250,0.0,50,1.0
41300,-2.0,50,1.0
41350,-1.0,50,1.0
41400,-1.0,50,1.0
41450,-3.0,50,1.0
41500,-3.0,50,1.0
41550,-1.0,50,1.0
41600,-2.0,50,1.0
41650,-2.0,50,1.0
41700,-1.0,50,1.0
41750,-2.0,50,1.0
41800,0.0,50,1.0
41850,-2.0,50,1.0
41900,-3.0,50,1.0
41950,-1.0,50,1.0
42000,-1.0,50,1.0
42050,-2.0,50,1.0
42100,-3.0,50,1.0
42150,-3.0,50,1.0
42200,-1.0,50,1.0
42250,-1.0,50,1.0
42300,0.0,50,1.0
42350,-1.0,50,1.0
42400,-2.0,50,1.0
42450,-2.0,50,1.0
42500,-2.0,50,1.0
42550,-1.0,50,1.0
42600,-3.0,50,1.0
42650,-1.0,50,1.0
42700,-1.0,50,1.0
42750,-3.0,50,1.0
42800,-3.0,50,1.0
42850,-2.0,50,1.0
42900,0.0,50,1.0
42950,0.0,50,1.0
43000,-1.0,50,1.0
43050,-2.0,50,1.0
43100,0.0,50,1.0
43150,-3.0,50,1.0
43200,-3.0,50,1.0
43250,-1.0,50,1.0
43300,-2.0,50,1.0
43350,-9.0,50,1.0
43400,-1.0,50,1.0
43450,-2.0,50,1.0
43500,0.0,50,1.0
43550,-2.0,50,1.0
43600,-2.0,50,1.0
43650,-3.0,50,1.0
43700,-4.0,50,1.0
43750,-3.0,50,1.0
43800,-2.0,50,1.0
43850,-1.0,50,1.0
43900,0.0,50,1.0
43950,-1.0,50,1.0
44000,0.0,50,1.0
44050,-1.0,50,1.0
44100,-1.0,50,1.0
44150,-3.0,50,1.0
44200,-2.0,50,1.0
44250,-2.0,50,1.0
